Image,Name,Area µm^2,Num Positive,FITC: Mean,Exclude
"4528_SLIDE1.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",Root,34829943.8,3066,1292.3427,0
"4528_SLIDE1.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",Root,34829943.8,3066,1292.3427,0
"4528_SLIDE1.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",root,17286666.5,1254,1336.8621,0
"4528_SLIDE1.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",grey,16225643.9,1234,1364.1648,0
"4528_SLIDE1.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",CH,16225643.9,1234,1364.1648,0
"4528_SLIDE1.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",CNU,6902363.1,550,1153.7591,0
"4528_SLIDE1.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",PAL,774663.7,65,997.6617,0
"4528_SLIDE1.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",PALm,329620.7,21,1153.5804,0
"4528_SLIDE1.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",MSC,329620.7,21,1153.5804,0
"4528_SLIDE1.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",MS,55010.6,5,1106.9038,0
"4528_SLIDE1.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",NDB,274610.1,16,1174.9031,0
"4528_SLIDE1.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",PALv,383324.4,37,911.8315,0
"4528_SLIDE1.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",SI,383324.4,37,911.8315,0
"4528_SLIDE1.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",STR,6127699.5,485,1170.1298,0
"4528_SLIDE1.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",LSX,448694.1,190,1210.0984,0
"4528_SLIDE1.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",LS,448694.1,190,1210.0984,0
"4528_SLIDE1.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",LSr,390578.3,157,1207.3029,0
"4528_SLIDE1.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",LSv,58115.9,33,1230.1607,0
"4528_SLIDE1.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",STRd,2711157.8,18,1240.7379,0
"4528_SLIDE1.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",CP,2711157.8,18,1240.7379,0
"4528_SLIDE1.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",STRv,2648014.9,229,1090.4234,0
"4528_SLIDE1.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",ACB,1719391.4,204,1231.6219,0
"4528_SLIDE1.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",OT,928623.5,25,824.1205,0
"4528_SLIDE1.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",CTX,9323329.8,684,1521.7109,0
"4528_SLIDE1.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",CTXpl,8978547.9,632,1525.569,0
"4528_SLIDE1.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",Isocortex,7716032.6,382,1567.6765,0
"4528_SLIDE1.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",ACA,1204121.5,129,1300.7874,0
"4528_SLIDE1.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",ACAd,632168.7,28,1285.814,0
"4528_SLIDE1.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",ACAd6a,135859.3,8,1437.9302,0
"4528_SLIDE1.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",ACAd6b,2511.9,0,1022.6667,0
"4528_SLIDE1.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",ACAd1,108250.9,0,892.8558,0
"4528_SLIDE1.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",ACAd2/3,122391.7,3,1334.6696,0
"4528_SLIDE1.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",ACAd5,263154.8,17,1350.9879,0
"4528_SLIDE1.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",ACAv,571952.8,101,1310.9815,0
"4528_SLIDE1.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",ACAv5,267475.2,63,1401.8976,0
"4528_SLIDE1.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",ACAv2/3,132286.6,33,1454.0787,0
"4528_SLIDE1.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",ACAv6a,32549.3,4,1340.6129,0
"4528_SLIDE1.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",ACAv1,139641.7,1,1037.9466,0
"4528_SLIDE1.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",GU,379536.1,9,1600.6341,0
"4528_SLIDE1.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",GU1,44456.9,0,1271.4419,0
"4528_SLIDE1.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",GU6a,15639.3,0,1705.625,0
"4528_SLIDE1.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",GU4,36562.7,0,1699.5714,0
"4528_SLIDE1.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",GU2/3,106572.6,6,1612.8835,0
"4528_SLIDE1.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",GU5,176304.6,3,1636.5858,0
"4528_SLIDE1.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",ILA,3938.4,0,1044.4,0
"4528_SLIDE1.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",ILA6a,3323.8,0,1102.3333,0
"4528_SLIDE1.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",ILA6b,614.59,0,949,0
"4528_SLIDE1.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",AI,956318.3,45,1263.1326,0
"4528_SLIDE1.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",AId,625776.9,17,1337.516,0
"4528_SLIDE1.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",AId6a,199271,9,1656.1176,0
