Acronym,Brain Region,Level_0,Level_1,Level_2,Level_3,Level_4,Level_5,Level_6,Level_7,Level_8,Level_9,mouse_id,density
FRP,"Frontal pole, cerebral cortex",root,Basic cell groups and regions,Cerebrum,Cerebral cortex,Cortical plate,Isocortex,"Frontal pole, cerebral cortex",,,,1000,0.0
MOp,Primary motor area,root,Basic cell groups and regions,Cerebrum,Cerebral cortex,Cortical plate,Isocortex,Somatomotor areas,Primary motor area,,,1000,1.16
MOs,Secondary motor area,root,Basic cell groups and regions,Cerebrum,Cerebral cortex,Cortical plate,Isocortex,Somatomotor areas,Secondary motor area,,,1000,3.76
SSp-n,"Primary somatosensory area, nose",root,Basic cell groups and regions,Cerebrum,Cerebral cortex,Cortical plate,Isocortex,Somatosensory areas,Primary somatosensory area,"Primary somatosensory area, nose",,1000,0.54
SSp-bfd,"Primary somatosensory area, barrel field",root,Basic cell groups and regions,Cerebrum,Cerebral cortex,Cortical plate,Isocortex,Somatosensory areas,Primary somatosensory area,"Primary somatosensory area, barrel field",,1000,2.13
SSp-ll,"Primary somatosensory area, lower limb",root,Basic cell groups and regions,Cerebrum,Cerebral cortex,Cortical plate,Isocortex,Somatosensory areas,Primary somatosensory area,"Primary somatosensory area, lower limb",,1000,2.28
SSp-m,"Primary somatosensory area, mouth",root,Basic cell groups and regions,Cerebrum,Cerebral cortex,Cortical plate,Isocortex,Somatosensory areas,Primary somatosensory area,"Primary somatosensory area, mouth",,1000,0.92
SSp-ul,"Primary somatosensory area, upper limb",root,Basic cell groups and regions,Cerebrum,Cerebral cortex,Cortical plate,Isocortex,Somatosensory areas,Primary somatosensory area,"Primary somatosensory area, upper limb",,1000,1.48
SSp-tr,"Primary somatosensory area, trunk",root,Basic cell groups and regions,Cerebrum,Cerebral cortex,Cortical plate,Isocortex,Somatosensory areas,Primary somatosensory area,"Primary somatosensory area, trunk",,1000,2.91
SSp-un,"Primary somatosensory area, unassigned",root,Basic cell groups and regions,Cerebrum,Cerebral cortex,Cortical plate,Isocortex,Somatosensory areas,Primary somatosensory area,"Primary somatosensory area, unassigned",,1000,0.75
SSs,Supplemental somatosensory area,root,Basic cell groups and regions,Cerebrum,Cerebral cortex,Cortical plate,Isocortex,Somatosensory areas,Supplemental somatosensory area,,,1000,0.98
GU,Gustatory areas,root,Basic cell groups and regions,Cerebrum,Cerebral cortex,Cortical plate,Isocortex,Gustatory areas,,,,1000,2.78
VISC,Visceral area,root,Basic cell groups and regions,Cerebrum,Cerebral cortex,Cortical plate,Isocortex,Visceral area,,,,1000,3.97
AUDd,Dorsal auditory area,root,Basic cell groups and regions,Cerebrum,Cerebral cortex,Cortical plate,Isocortex,Auditory areas,Dorsal auditory area,,,1000,1.71
AUDp,Primary auditory area,root,Basic cell groups and regions,Cerebrum,Cerebral cortex,Cortical plate,Isocortex,Auditory areas,Primary auditory area,,,1000,1.4
AUDpo,Posterior auditory area,root,Basic cell groups and regions,Cerebrum,Cerebral cortex,Cortical plate,Isocortex,Auditory areas,Posterior auditory area,,,1000,2.34
