Acronym,Brain Region,Level_0,Level_1,Level_2,Level_3,Level_4,Level_5,Level_6,Level_7,Level_8,Level_9,1000_annotation_measurements,1001_annotation_measurements,4524_annotation_measurements,4525_annotation_measurements,4526_annotation_measurements,4527_annotation_measurements,4528_annotation_measurements,4530_annotation_measurements,4531_annotation_measurements,4532_annotation_measurements,4533_annotation_measurements,4634_annotation_measurements,4635_annotation_measurements,4636_annotation_measurements,4637_annotation_measurements,4657_annotation_measurements,4658_annotation_measurements,4659_annotation_measurements,4660_annotation_measurements,4689_annotation_measurements,4690_annotation_measurements,4691_annotation_measurements,4692_annotation_measurements,4702_annotation_measurements,4703_annotation_measurements,4704_annotation_measurements,4705_annotation_measurements,4707_annotation_measurements,4708_annotation_measurements,4709_annotation_measurements,4710_annotation_measurements,5366_annotation_measurements,5368_annotation_measurements,5369_annotation_measurements,5370_annotation_measurements,5373_annotation_measurements,5374_annotation_measurements,5375_annotation_measurements,5875_annotation_measurements,5876_annotation_measurements
FRP,"Frontal pole, cerebral cortex",root,Basic cell groups and regions,Cerebrum,Cerebral cortex,Cortical plate,Isocortex,"Frontal pole, cerebral cortex",,,,0.0,0.0,214.31,379.28,0.0,29.21,79.24,112.62,330.92,179.87,103.87,646.49,,109.21,227.15,11.91,,10.39,24.63,75.01,25.48,36.89,105.45,114.75,10.41,390.5,70.13,251.56,6.81,121.93,37.26,611.75,208.99,20.78,90.93,112.42,0.0,932.51,3.36,15.38
MOp,Primary motor area,root,Basic cell groups and regions,Cerebrum,Cerebral cortex,Cortical plate,Isocortex,Somatomotor areas,Primary motor area,,,1.16,0.54,297.41,803.29,6.6,40.04,51.89,106.99,452.35,182.19,186.14,618.29,15.21,23.98,263.3,21.09,99.88,13.27,67.01,254.73,26.92,53.81,165.88,77.71,20.11,224.23,41.82,226.71,14.89,120.72,32.25,246.61,382.83,13.28,14.07,21.38,8.15,359.89,2.32,4.92
MOs,Secondary motor area,root,Basic cell groups and regions,Cerebrum,Cerebral cortex,Cortical plate,Isocortex,Somatomotor areas,Secondary motor area,,,3.76,0.64,173.58,566.38,4.02,41.79,41.53,65.11,451.4,202.7,95.69,479.31,9.07,50.95,141.91,24.78,166.19,16.68,101.39,129.95,39.32,29.66,68.96,76.03,25.86,161.44,49.49,156.55,11.48,87.53,17.48,295.24,227.3,8.34,21.4,36.05,9.36,459.19,3.05,5.95
SSp-n,"Primary somatosensory area, nose",root,Basic cell groups and regions,Cerebrum,Cerebral cortex,Cortical plate,Isocortex,Somatosensory areas,Primary somatosensory area,"Primary somatosensory area, nose",,0.54,0.33,100.98,1083.1,2.72,37.13,39.87,79.77,837.77,300.07,61.53,730.59,17.48,33.61,450.92,20.29,96.61,10.16,56.98,457.14,23.79,23.16,255.23,60.71,18.93,298.52,36.46,173.07,11.79,112.17,40.46,846.65,198.97,10.34,16.84,19.72,1.96,542.75,2.7,3.93
SSp-bfd,"Primary somatosensory area, barrel field",root,Basic cell groups and regions,Cerebrum,Cerebral cortex,Cortical plate,Isocortex,Somatosensory areas,Primary somatosensory area,"Primary somatosensory area, barrel field",,2.13,0.49,67.76,785.81,3.71,144.03,32.78,66.04,884.08,238.74,21.26,535.58,10.47,34.28,310.18,43.05,177.3,15.32,100.52,335.53,34.9,23.21,175.29,53.51,15.9,271.33,40.51,291.45,8.38,103.8,8.27,510.94,52.57,17.53,20.48,46.8,1.28,570.57,3.74,3.94
SSp-ll,"Primary somatosensory area, lower limb",root,Basic cell groups and regions,Cerebrum,Cerebral cortex,Cortical plate,Isocortex,Somatosensory areas,Primary somatosensory area,"Primary somatosensory area, lower limb",,2.28,0.44,52.5,606.11,7.53,114.24,22.92,46.15,616.19,152.13,22.69,821.6,13.88,20.76,119.68,25.35,66.74,23.25,100.48,176.73,22.65,12.7,138.97,61.15,15.43,153.99,47.08,183.49,9.72,81.53,9.76,436.0,25.41,12.07,9.85,26.97,2.03,427.99,2.26,4.61
SSp-m,"Primary somatosensory area, mouth",root,Basic cell groups and regions,Cerebrum,Cerebral cortex,Cortical plate,Isocortex,Somatosensory areas,Primary somatosensory area,"Primary somatosensory area, mouth",,0.92,0.72,494.84,1095.03,5.0,39.77,83.55,149.98,879.97,307.51,331.94,906.82,53.71,22.72,419.43,16.75,139.57,15.43,99.68,545.93,18.51,68.86,405.18,116.49,30.01,357.52,58.03,349.36,27.12,296.45,71.79,422.44,629.2,14.87,13.99,10.46,1.54,592.74,2.82,6.57
SSp-ul,"Primary somatosensory area, upper limb",root,Basic cell groups and regions,Cerebrum,Cerebral cortex,Cortical plate,Isocortex,Somatosensory areas,Primary somatosensory area,"Primary somatosensory area, upper limb",,1.48,0.49,188.06,919.61,8.04,43.86,34.33,99.19,640.13,168.95,50.99,707.39,17.85,22.17,360.76,17.01,92.24,16.81,79.12,433.4,65.32,16.52,165.69,87.95,21.08,264.45,56.91,192.42,15.59,119.32,22.38,488.56,198.35,9.47,15.94,29.27,0.76,429.88,2.28,5.13
SSp-tr,"Primary somatosensory area, trunk",root,Basic cell groups and regions,Cerebrum,Cerebral cortex,Cortical plate,Isocortex,Somatosensory areas,Primary somatosensory area,"Primary somatosensory area, trunk",,2.91,0.19,29.48,617.49,15.28,157.13,57.63,53.89,614.48,153.34,41.97,446.11,17.73,22.42,152.98,66.04,164.27,25.23,197.68,214.64,15.09,18.22,108.02,85.39,22.2,139.4,42.14,219.29,20.34,169.74,9.84,350.89,34.33,25.12,16.68,36.86,2.02,497.3,3.16,6.28
SSp-un,"Primary somatosensory area, unassigned",root,Basic cell groups and regions,Cerebrum,Cerebral cortex,Cortical plate,Isocortex,Somatosensory areas,Primary somatosensory area,"Primary somatosensory area, unassigned",,0.75,0.17,163.44,933.92,6.43,61.74,34.91,87.8,816.66,242.17,32.3,710.5,17.55,26.2,375.05,28.27,114.56,12.25,95.45,468.51,46.86,18.51,179.86,70.0,16.27,226.4,57.93,195.56,10.64,138.14,21.98,532.41,158.37,17.68,18.41,29.7,2.11,434.14,2.42,5.16
