genotype,sex,light,id,perfusion_batch,batch,litter,age_days
cre/+,F,D,4530,"45,945.00",1,45873,72
cre/+,F,D,4533,"45,945.00",1,45873,72
cre/+,F,D,4532,"45,950.00",1,45873,77
cre/+,F,D,4708,"45,994.00",4,45934,60
cre/+,F,D,4692,"45,995.00",4,45924,71
cre/+,F,D,5370,"46,132.00",5,46055,77
cre/+,F,L,4660,"45,965.00",2,45900,65
cre/+,F,L,4689,"45,995.00",4,45924,71
cre/+,F,L,4691,"45,995.00",4,45924,71
cre/+,F,L,5373,"46,128.00",5,46055,73
cre/+,F,L,5369,"46,132.00",5,46055,77
cre/+,M,D,4526,"45,944.00",1,45873,71
cre/+,M,D,4635,"45,979.00",3,45909,70
cre/+,M,D,4705,"45,995.00",4,45934,61
cre/+,M,L,4634,"45,979.00",3,45909,70
cre/+,M,L,4703,"45,995.00",4,45934,61
cre/cre,F,D,5374,"45,994.00",4,45934,60
cre/cre,F,D,4710,"45,995.00",4,45924,71
cre/cre,F,D,4690,"46,128.00",5,46055,73
cre/cre,F,D,5375,"46,128.00",5,46055,73
cre/cre,F,L,4531,"45,950.00",1,45873,77
cre/cre,F,L,4707,"45,994.00",4,45934,60
cre/cre,F,L,4709,"45,994.00",4,45934,60
cre/cre,M,D,4524,"45,944.00",1,45873,71
cre/cre,M,D,4525,"45,944.00",1,45873,71
cre/cre,M,D,4528,"45,944.00",1,45873,71
cre/cre,M,D,4658,"45,965.00",2,45900,65
cre/cre,M,D,4659,"45,965.00",2,45900,65
cre/cre,M,D,4637,"45,979.00",3,45909,70
cre/cre,M,D,4704,"45,995.00",4,45934,61
cre/cre,M,D,5368,"46,132.00",5,46055,77
cre/cre,M,L,4527,"45,950.00",1,45873,77
cre/cre,M,L,4657,"45,965.00",2,45900,65
cre/cre,M,L,4636,"45,979.00",3,45909,70
cre/cre,M,L,4702,"45,995.00",4,45934,61
cre/cre,M,L,5366,"46,132.00",5,46055,77
cre/+,M,D,1000,"46,224.00",6,"46,158.00",66
cre/+,M,D,1001,"46,224.00",6,"46,158.00",66
cre/+,M,L,5875,"46,224.00",6,"46,149.00",75
cre/+,M,L,5876,"46,224.00",6,"46,149.00",75
