Image,Name,Area µm^2,Num Positive,FITC: Mean,Exclude
"4710_slide2.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",,71404080.1,3310,1047.303,0
"4710_slide2.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",Root,49819174.6,3289,1464.8915,0
"4710_slide2.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",root,24726982.9,1775,1460.4835,0
"4710_slide2.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",grey,21638416.9,1707,1517.9259,0
"4710_slide2.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",CH,16019353.1,1123,1633.1581,0
"4710_slide2.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",CNU,4261437.3,247,1407.4329,0
"4710_slide2.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",PAL,910196.3,3,957.5602,0
"4710_slide2.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",PALd,588615.7,0,942.2232,0
"4710_slide2.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",GPi,147051.7,0,879.4203,0
"4710_slide2.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",GPe,441564,0,959.2898,0
"4710_slide2.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",PALv,90696.7,2,1161.2857,0
"4710_slide2.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",SI,90696.7,2,1161.2857,0
"4710_slide2.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",STR,3351240.9,244,1531.4889,0
"4710_slide2.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",sAMY,1046827.7,191,1644.2973,0
"4710_slide2.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",CEA,637109.5,105,1600.7048,0
"4710_slide2.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",CEAc,190668.2,8,1578.4831,0
"4710_slide2.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",CEAl,124645.3,22,1757.178,0
"4710_slide2.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",CEAm,321796,75,1544.0326,0
"4710_slide2.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",IA,81863.4,24,2066.8182,0
"4710_slide2.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",MEA,327854.8,62,1651.965,0
"4710_slide2.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",STRd,2139817.9,40,1471.033,0
"4710_slide2.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",CP,2139817.9,40,1471.033,0
"4710_slide2.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",CTX,11757938.9,876,1714.1053,0
"4710_slide2.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",CTXpl,10994733.5,777,1725.4567,0
"4710_slide2.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",HPF,1144908.1,114,1882.1001,0
"4710_slide2.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",HIP,1137665,114,1888.2067,0
"4710_slide2.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",DG,232464.4,66,2682.2831,0
"4710_slide2.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",DG-sg,76334.9,10,2396.8551,0
"4710_slide2.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",DG-mo,143505.9,55,2758.2357,0
"4710_slide2.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",DG-po,12623.6,1,2689.6,0
"4710_slide2.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",CA,905200.6,48,1703.4843,0
"4710_slide2.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",CA1,103425.8,0,872.97,0
"4710_slide2.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",CA2,98714.4,0,1238.2614,0
"4710_slide2.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",CA3,703060.3,48,1868.9029,0
"4710_slide2.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",OLF,1757335.5,295,1537.8813,0
"4710_slide2.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",NLOT,212303.2,71,1535.0792,0
"4710_slide2.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",NLOT3,33949.8,10,1654.7812,0
"4710_slide2.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",NLOT1,77803.2,10,1283.125,0
"4710_slide2.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",NLOT2,100550.2,51,1699.0729,0
"4710_slide2.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",COA,261291.4,63,1413.5538,0
"4710_slide2.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",COAa,261291.4,63,1413.5538,0
"4710_slide2.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",PAA,210683.7,23,1706.495,0
"4710_slide2.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",PIR,1013051.1,133,1566.8098,0
"4710_slide2.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",Isocortex,8092489.9,368,1740.7134,0
"4710_slide2.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",AI,509666.1,68,1341.4012,0
"4710_slide2.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",AIp,509666.1,68,1341.4012,0
"4710_slide2.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",AIp1,83559,3,608.9744,0
"4710_slide2.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",AIp2/3,150752.3,13,1461.3403,0
"4710_slide2.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",AIp6a,123259.3,24,1629.1818,0
"4710_slide2.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",AIp5,148009.8,27,1369.2837,0
"4710_slide2.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",AIp6b,4085.7,1,1754,0
"4710_slide2.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",VISC,697495.4,108,1672.6869,0
"4710_slide2.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",VISC5,216266.3,26,1619.7633,0
"4710_slide2.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",VISC2/3,167235.8,34,1878.9006,0
"4710_slide2.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",VISC6b,15589.3,2,1939.9333,0
"4710_slide2.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",VISC6a,151699,27,1961.6338,0
"4710_slide2.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",VISC1,103165.6,5,899.13,0
"4710_slide2.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",VISC4,43539.3,14,2096.3333,0
"4710_slide2.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",RSP,1317722.8,12,1846.5379,0
"4710_slide2.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",RSPd,464081.1,6,1716.7805,0
"4710_slide2.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",RSPd5,151741.6,2,1877.898,0
"4710_slide2.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",RSPd6a,96103.3,0,1833.011,0
"4710_slide2.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",RSPd6b,2929.5,0,1667.75,0
"4710_slide2.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",RSPd2/3,124668.2,4,1909.85,0
"4710_slide2.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",RSPd1,88638.5,0,924.8519,0
"4710_slide2.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",RSPv,517626.7,3,1994.7602,0
"4710_slide2.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",RSPv1,118747.3,2,1348.807,0
"4710_slide2.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",RSPv6a,63421.5,0,1984.5333,0
"4710_slide2.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",RSPv6b,10944.7,0,1859.5,0
